SessionID,UserID,StartTime,EndTime,Genre,DeviceType,SubscriptionType,Region,DurationMinutes,WatchMinutes,CompletionRate,BufferEvents,BitrateMbps,UserRating,PeakHours,PauseCount,VolumeChanges,AdSkips
SSN100000,USR2066,2024-04-07T04:51:26,2024-04-07T05:18:26,Sci-Fi,smartphone,Premium,India,29,26,1,2,2.55,4.2,No,1,6,0
SSN100001,USR7486,2024-11-26T03:02:59,2024-11-26T05:25:59,ANIMATION,Mobile,Standard,US,144,131,0.91,2,,2.5,No,2,1,2
SSN100002,USR8158,2024-06-17T14:42:37,2024-06-17T16:05:37,documentary,Tablet,Premium,Germany,84,68,0.76,0,1.36,,No,1,3,0
SSN100003,USR5693,2024-07-15T09:29:10,2024-07-15T11:53:10,Romance,PC,Basic,Brazil,141,85,0.61,1,4.94,3.7,No,0,1,0
SSN100004,USR4393,2024-08-21T10:37:18,2024-08-21T11:41:18,Horror,Tablet,basic,Brazil,64,37,0.58,1,2.68,4.3,No,3,1,1
SSN100005,USR1042,2024-01-11T00:32:16,2024-01-11T02:42:16,Animation,Smart TV,Basic,India,126,124,0.96,2,4.83,3.1,Yes,2,2,1
SSN100006,USR2622,2024-09-30T19:49:57,2024-09-30T20:48:57,Romance,Tablet,Standard,Germany,59,35,0.65,1,3.23,3.1,Yes,0,2,2
SSN100007,USR9939,2024-11-08T20:06:48,2024-11-08T21:21:48,Animation,Mobile,basic,Brazil,75,52,0.69,0,3.48,4,Yes,0,1,2
SSN100008,USR8862,2024-10-19T03:43:00,2024-10-19T05:14:00,Horror,Game Console,Basic,Australia,92,62,,2,3.72,3.2,No,0,2,2
SSN100009,USR1522,2024-02-28T11:49:42,2024-02-28T14:23:42,Horror,Smart TV,Premium,US,155,152,0.99,4,5.05,3.2,No,1,3,0
SSN100010,USR4134,2024-04-27T12:56:07,2024-04-27T14:00:07,Romance,tablet,Standard,Germany,61,59,0.89,2,2.74,3.5,No,0,2,0
SSN100011,USR9992,2024-05-24T05:41:47,2024-05-24T07:27:47,Comedy,Smart TV,Standard,Germany,104,72,0.68,1,6.1,5,No,1,2,0
SSN100012,USR3833,2024-02-17T11:16:04,2024-02-17T12:25:04,Horror,Mobile,Basic,US,65,57,0.84,1,2.06,4.7,No,0,5,1
