SessionID,UserID,StartTime,EndTime,Genre,DeviceType,SubscriptionType,Region,DurationMinutes,WatchMinutes,CompletionRate,BufferEvents,BitrateMbps,UserRating,PeakHours,PauseCount,VolumeChanges,AdSkips,StartDate,EndDate,StartDateTime,EndDateTime,LocalStartTime,LocalEndTime,LocalStartHour,LocalEndHour,Cluster,SubscriptionType_clean,Genre_encoded,DeviceType_encoded,SubscriptionType_clean_encoded
SSN100000,USR2066,04:51:26,05:18:26,science fiction,phone,Premium,India,29,26,1,2,255,4.2,No,1,6,0,07/04/2024,07/04/2024,2024-04-07 00:00:00+00:00,2024-04-07 00:00:00+00:00,2024-04-07 05:30:00+05:30,2024-04-07 05:30:00+05:30,5,5,2,premium,8,3,1
SSN100001,USR7486,03:02:59,05:25:59,animation,phone,Standard,Usa,144,131,0.91,2,,2.5,No,2,1,2,26/11/2024,26/11/2024,2024-11-26 00:00:00+00:00,2024-11-26 00:00:00+00:00,2024-11-25 19:00:00-05:00,2024-11-25 19:00:00-05:00,19,19,3,standard,1,3,2
SSN100002,USR8158,14:42:37,16:05:37,documentary,tablet,Premium,Germany,84,68,0.76,0,136,,No,1,3,0,17/06/2024,17/06/2024,2024-06-17 00:00:00+00:00,2024-06-17 00:00:00+00:00,2024-06-17 02:00:00+02:00,2024-06-17 02:00:00+02:00,2,2,2,premium,4,5,1
SSN100003,USR5693,09:29:10,11:53:10,romance,game console,Basic,Brazil,141,85,0.61,1,494,3.7,No,0,1,0,15/07/2024,15/07/2024,2024-07-15 00:00:00+00:00,2024-07-15 00:00:00+00:00,2024-07-14 21:00:00-03:00,2024-07-14 21:00:00-03:00,21,21,3,basic,7,1,0
SSN100004,USR4393,10:37:18,11:41:18,horror,tablet,Basic,Brazil,64,37,0.58,1,268,4.3,No,3,1,1,21/08/2024,21/08/2024,2024-08-21 00:00:00+00:00,2024-08-21 00:00:00+00:00,2024-08-20 21:00:00-03:00,2024-08-20 21:00:00-03:00,21,21,2,basic,6,5,0
SSN100005,USR1042,00:32:16,02:42:16,animation,smart tv,Basic,India,126,124,0.96,2,483,3.1,Yes,2,2,1,11/01/2024,11/01/2024,2024-01-11 00:00:00+00:00,2024-01-11 00:00:00+00:00,2024-01-11 05:30:00+05:30,2024-01-11 05:30:00+05:30,5,5,3,basic,1,4,0
SSN100006,USR2622,19:49:57,20:48:57,romance,tablet,Standard,Germany,59,35,0.65,1,323,3.1,Yes,0,2,2,30/09/2024,30/09/2024,2024-09-30 00:00:00+00:00,2024-09-30 00:00:00+00:00,2024-09-30 02:00:00+02:00,2024-09-30 02:00:00+02:00,2,2,0,standard,7,5,2
SSN100007,USR9939,20:06:48,21:21:48,animation,phone,Basic,Brazil,75,52,0.69,0,348,4,Yes,0,1,2,08/11/2024,08/11/2024,2024-11-08 00:00:00+00:00,2024-11-08 00:00:00+00:00,2024-11-07 21:00:00-03:00,2024-11-07 21:00:00-03:00,21,21,2,basic,1,3,0
SSN100008,USR8862,03:43:00,05:14:00,horror,game console,Basic,Australia,92,62,,2,372,3.2,No,0,2,2,19/10/2024,19/10/2024,2024-10-19 00:00:00+00:00,2024-10-19 00:00:00+00:00,2024-10-19 11:00:00+11:00,2024-10-19 11:00:00+11:00,11,11,0,basic,6,1,0
SSN100009,USR1522,11:49:42,14:23:42,horror,smart tv,Premium,Usa,155,152,0.99,4,505,3.2,No,1,3,0,28/02/2024,28/02/2024,2024-02-28 00:00:00+00:00,2024-02-28 00:00:00+00:00,2024-02-27 19:00:00-05:00,2024-02-27 19:00:00-05:00,19,19,3,premium,6,4,1
SSN100010,USR4134,12:56:07,14:00:07,romance,tablet,Standard,Germany,61,59,0.89,2,274,3.5,No,0,2,0,27/04/2024,27/04/2024,2024-04-27 00:00:00+00:00,2024-04-27 00:00:00+00:00,2024-04-27 02:00:00+02:00,2024-04-27 02:00:00+02:00,2,2,0,standard,7,5,2
SSN100011,USR9992,05:41:47,07:27:47,comedy,smart tv,Standard,Germany,104,72,0.68,1,61,5,No,1,2,0,24/05/2024,24/05/2024,2024-05-24 00:00:00+00:00,2024-05-24 00:00:00+00:00,2024-05-24 02:00:00+02:00,2024-05-24 02:00:00+02:00,2,2,2,standard,3,4,2
SSN100012,USR3833,11:16:04,12:25:04,horror,phone,Basic,Usa,65,57,0.84,1,206,4.7,No,0,5,1,17/02/2024,17/02/2024,2024-02-17 00:00:00+00:00,2024-02-17 00:00:00+00:00,2024-02-16 19:00:00-05:00,2024-02-16 19:00:00-05:00,19,19,2,basic,6,3,0
SSN100013,USR7542,19:10:10,21:20:10,science fiction,tablet,Standard,Canada,128,80,0.65,1,337,2,Yes,0,1,0,04/04/2024,04/04/2024,2024-04-04 00:00:00+00:00,2024-04-04 00:00:00+00:00,2024-04-03 20:00:00-04:00,2024-04-03 20:00:00-04:00,20,20,3,standard,8,5,2
SSN100014,USR8294,14:41:03,15:31:03,drama,smart tv,Standard,India,49,50,1,1,592,4,No,2,0,0,26/04/2024,26/04/2024,2024-04-26 00:00:00+00:00,2024-04-26 00:00:00+00:00,2024-04-26 05:30:00+05:30,2024-04-26 05:30:00+05:30,5,5,2,standard,5,4,2
SSN100015,USR6499,07:47:38,10:19:38,comedy,tablet,Standard,Brazil,150,151,1,0,237,4.6,No,0,3,3,13/07/2024,13/07/2024,2024-07-13 00:00:00+00:00,2024-07-13 00:00:00+00:00,2024-07-12 21:00:00-03:00,2024-07-12 21:00:00-03:00,21,21,1,standard,3,5,2
SSN100016,USR4156,21:37:50,22:06:50,science fiction,game console,Basic,Brazil,31,26,0.86,2,315,4.3,Yes,1,2,1,30/07/2024,30/07/2024,2024-07-30 00:00:00+00:00,2024-07-30 00:00:00+00:00,2024-07-29 21:00:00-03:00,2024-07-29 21:00:00-03:00,21,21,2,basic,8,1,0
SSN100017,USR2428,01:24:06,03:28:06,horror,game console,Basic,Australia,125,123,1,1,313,4.3,Yes,0,5,0,19/04/2024,19/04/2024,2024-04-19 00:00:00+00:00,2024-04-19 00:00:00+00:00,2024-04-19 10:00:00+10:00,2024-04-19 10:00:00+10:00,10,10,1,basic,6,1,0
SSN100018,USR2022,16:49:07,19:32:07,horror,phone,Standard,Canada,163,111,0.68,0,423,3.9,No,1,4,1,01/12/2024,01/12/2024,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,2024-11-30 19:00:00-05:00,2024-11-30 19:00:00-05:00,19,19,1,standard,6,3,2
SSN100019,USR8842,18:42:14,19:17:14,horror,phone,Premium,Australia,37,24,,2,474,4.2,Yes,0,8,0,06/12/2024,06/12/2024,2024-12-06 00:00:00+00:00,2024-12-06 00:00:00+00:00,2024-12-06 11:00:00+11:00,2024-12-06 11:00:00+11:00,11,11,2,premium,6,3,1
SSN100020,USR7789,07:54:02,09:12:02,comedy,game console,Basic,Usa,74,40,0.49,0,343,3.8,No,3,1,1,05/01/2024,05/01/2024,2024-01-05 00:00:00+00:00,2024-01-05 00:00:00+00:00,2024-01-04 19:00:00-05:00,2024-01-04 19:00:00-05:00,19,19,0,basic,3,1,0
SSN100021,USR9779,10:33:01,12:59:01,action,game console,Premium,Brazil,145,69,0.49,2,371,5,No,0,4,0,19/11/2024,19/11/2024,2024-11-19 00:00:00+00:00,2024-11-19 00:00:00+00:00,2024-11-18 21:00:00-03:00,2024-11-18 21:00:00-03:00,21,21,1,premium,0,1,1
